ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
apt32,-,3%,6%,0%,6%,3%,7%,7%,4%,8%,4%,8%,0%,4%,8%,0%,9%,5%,0%,9%,9%,10%,10%,10%,0%,11%,6%,12%,6%,6%,0%,13%,0%,15%,8%,0%,8%,8%,18%,0%,9%,18%,9%,10%,20%,0%,10%,0%,11%,0%,13%,29%,14%,14%,0%,0%,17%,33%,17%,0%,0%,0%,20%,0%,20%,20%,20%,20%,40%,40%,20%,0%,0%,25%,0%,0%,50%,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lazarus-group,3%,-,3%,0%,3%,3%,3%,7%,4%,4%,4%,4%,0%,8%,4%,0%,4%,5%,0%,5%,5%,5%,5%,5%,0%,11%,6%,6%,6%,6%,0%,7%,0%,8%,8%,0%,8%,8%,9%,0%,9%,9%,9%,0%,10%,0%,10%,0%,0%,0%,13%,0%,14%,0%,0%,14%,17%,33%,17%,0%,0%,0%,20%,0%,20%,20%,20%,20%,20%,20%,20%,0%,0%,25%,0%,0%,25%,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt28,5%,3%,-,0%,6%,3%,7%,7%,4%,8%,4%,8%,0%,4%,8%,0%,9%,5%,0%,9%,9%,5%,10%,10%,0%,11%,6%,12%,6%,6%,0%,13%,0%,15%,8%,0%,8%,8%,18%,0%,9%,18%,9%,0%,20%,0%,10%,0%,11%,0%,13%,14%,14%,0%,0%,0%,17%,33%,17%,0%,0%,0%,20%,0%,20%,20%,20%,20%,40%,40%,20%,0%,0%,25%,0%,0%,50%,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
unc2452,0%,0%,0%,-,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wizard-spider,5%,3%,6%,0%,-,3%,7%,7%,4%,8%,4%,8%,4%,4%,8%,0%,9%,5%,0%,9%,14%,5%,15%,10%,0%,11%,6%,12%,6%,6%,0%,13%,0%,15%,8%,0%,8%,8%,18%,0%,9%,18%,9%,0%,20%,0%,10%,0%,11%,0%,13%,14%,14%,0%,0%,0%,17%,33%,17%,0%,0%,0%,20%,0%,20%,20%,20%,20%,40%,40%,20%,0%,0%,25%,0%,0%,50%,0%,25%,0%,25%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt41,3%,3%,3%,3%,3%,-,3%,3%,4%,4%,4%,4%,0%,4%,4%,0%,4%,5%,0%,5%,5%,5%,5%,5%,0%,6%,6%,6%,6%,13%,0%,7%,0%,8%,8%,0%,8%,8%,9%,0%,9%,9%,9%,0%,10%,0%,10%,0%,0%,0%,13%,0%,14%,0%,0%,0%,17%,17%,17%,0%,0%,0%,20%,0%,20%,20%,20%,20%,20%,20%,20%,0%,0%,25%,0%,0%,25%,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
turla,5%,3%,6%,0%,6%,3%,-,7%,4%,8%,4%,8%,0%,4%,8%,0%,9%,5%,0%,9%,9%,5%,10%,10%,0%,11%,6%,12%,6%,6%,0%,13%,0%,15%,8%,0%,8%,8%,18%,0%,9%,18%,9%,0%,20%,0%,10%,0%,11%,0%,13%,14%,14%,0%,0%,0%,17%,33%,17%,0%,0%,0%,20%,0%,20%,20%,20%,20%,40%,40%,20%,0%,0%,25%,0%,0%,50%,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
oilrig,5%,5%,6%,0%,6%,3%,7%,-,4%,8%,4%,8%,0%,8%,8%,0%,9%,5%,0%,9%,9%,5%,10%,10%,0%,17%,6%,12%,6%,6%,0%,13%,0%,15%,8%,0%,8%,8%,18%,0%,9%,18%,9%,0%,20%,0%,10%,0%,11%,0%,13%,14%,14%,0%,0%,14%,17%,50%,17%,0%,0%,0%,20%,0%,20%,20%,20%,20%,40%,40%,20%,0%,0%,25%,0%,0%,50%,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
muddywater,3%,3%,3%,0%,3%,3%,3%,3%,-,4%,4%,4%,0%,4%,4%,0%,4%,5%,0%,5%,5%,5%,5%,5%,0%,6%,6%,6%,6%,6%,0%,7%,0%,8%,8%,0%,8%,8%,9%,0%,9%,9%,9%,0%,10%,0%,10%,0%,0%,0%,13%,0%,14%,0%,0%,0%,17%,17%,17%,0%,0%,0%,20%,0%,20%,20%,20%,20%,20%,20%,20%,0%,0%,25%,0%,0%,25%,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
patchwork,5%,3%,6%,0%,6%,3%,7%,7%,4%,-,4%,8%,0%,4%,8%,0%,9%,5%,0%,9%,9%,5%,10%,10%,0%,11%,6%,12%,6%,6%,0%,13%,0%,15%,8%,0%,8%,8%,18%,0%,9%,18%,9%,0%,20%,0%,10%,0%,11%,0%,13%,14%,14%,0%,0%,0%,17%,33%,17%,0%,0%,0%,20%,0%,20%,20%,20%,20%,40%,40%,20%,0%,0%,25%,0%,0%,50%,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
