ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
bronze-butler,13%,5%,3%,10%,6%,10%,3%,3%,11%,19%,-,4%,8%,8%,4%,13%,9%,14%,14%,0%,14%,20%,0%,5%,5%,6%,0%,6%,13%,13%,7%,7%,15%,15%,23%,8%,15%,0%,0%,18%,9%,0%,9%,10%,0%,0%,0%,10%,11%,11%,0%,0%,0%,14%,0%,0%,17%,0%,0%,0%,17%,17%,20%,0%,0%,0%,20%,0%,0%,20%,0%,25%,0%,0%,25%,25%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt39,3%,3%,0%,3%,0%,3%,0%,0%,4%,8%,4%,-,4%,0%,0%,0%,0%,5%,9%,0%,5%,5%,5%,0%,0%,0%,0%,0%,6%,6%,7%,7%,8%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,10%,11%,11%,0%,0%,0%,0%,0%,14%,17%,0%,0%,0%,17%,0%,20%,0%,0%,0%,0%,0%,20%,0%,0%,25%,0%,0%,25%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt3,10%,5%,9%,6%,6%,7%,3%,7%,4%,15%,8%,4%,-,4%,4%,9%,4%,9%,9%,0%,18%,10%,15%,0%,0%,11%,0%,6%,6%,13%,20%,0%,15%,8%,15%,8%,0%,0%,0%,9%,9%,0%,27%,0%,0%,0%,0%,20%,11%,0%,0%,0%,0%,14%,29%,14%,0%,0%,0%,33%,17%,17%,40%,0%,0%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,25%,25%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin6,5%,8%,3%,13%,13%,7%,3%,3%,0%,8%,8%,0%,4%,-,4%,4%,4%,5%,9%,0%,5%,5%,5%,5%,0%,6%,11%,6%,13%,6%,0%,0%,8%,15%,15%,0%,0%,0%,0%,18%,9%,0%,0%,20%,10%,0%,0%,10%,11%,0%,13%,0%,0%,14%,0%,0%,0%,0%,0%,17%,17%,17%,20%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,50%,0%,50%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dragonfly-2.0,5%,5%,6%,6%,3%,7%,0%,3%,0%,4%,4%,0%,4%,4%,-,4%,4%,5%,9%,0%,5%,5%,0%,0%,0%,6%,0%,12%,6%,6%,0%,0%,8%,15%,8%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,17%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
threat-group-3390,5%,3%,3%,6%,3%,7%,0%,3%,4%,15%,12%,0%,8%,4%,4%,-,9%,18%,5%,0%,9%,10%,0%,0%,0%,6%,0%,6%,6%,6%,7%,0%,8%,8%,8%,0%,8%,0%,0%,18%,9%,0%,9%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,0%,17%,20%,0%,0%,20%,20%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
cobalt-group,5%,3%,3%,3%,3%,3%,0%,3%,7%,8%,8%,0%,4%,4%,4%,9%,-,5%,5%,0%,9%,5%,0%,5%,0%,6%,0%,6%,6%,6%,0%,0%,8%,8%,8%,8%,8%,8%,0%,18%,0%,0%,9%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,14%,14%,0%,0%,0%,0%,0%,0%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
menupass,10%,3%,3%,6%,3%,10%,0%,3%,4%,15%,12%,4%,8%,4%,4%,17%,4%,-,9%,0%,5%,15%,0%,0%,0%,6%,0%,6%,13%,13%,13%,7%,15%,8%,8%,8%,0%,0%,0%,9%,9%,0%,9%,10%,0%,0%,0%,10%,0%,11%,0%,0%,0%,14%,0%,0%,17%,0%,17%,0%,17%,17%,20%,0%,0%,20%,20%,0%,0%,0%,0%,50%,0%,0%,25%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
rocke,13%,15%,9%,16%,6%,7%,3%,3%,7%,12%,12%,8%,8%,8%,8%,4%,4%,9%,-,0%,9%,15%,5%,0%,0%,6%,0%,6%,13%,13%,7%,7%,23%,23%,23%,8%,0%,0%,0%,9%,18%,0%,0%,10%,0%,0%,0%,20%,22%,11%,0%,0%,0%,14%,0%,14%,17%,0%,0%,0%,33%,17%,40%,0%,0%,0%,0%,0%,20%,0%,0%,25%,0%,0%,25%,25%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt33,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt29,8%,5%,6%,6%,6%,3%,0%,3%,7%,12%,12%,4%,16%,4%,4%,9%,9%,5%,9%,0%,-,5%,15%,0%,0%,6%,0%,6%,6%,13%,7%,0%,8%,8%,15%,8%,8%,0%,0%,18%,0%,0%,9%,0%,0%,0%,0%,20%,11%,0%,0%,0%,0%,14%,0%,14%,0%,0%,0%,17%,17%,17%,40%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
tropic-trooper,13%,8%,6%,6%,6%,10%,3%,3%,7%,12%,16%,4%,8%,4%,4%,9%,4%,14%,14%,0%,5%,-,5%,0%,0%,6%,0%,6%,13%,13%,7%,7%,15%,8%,8%,8%,8%,0%,0%,9%,0%,0%,9%,20%,0%,0%,0%,10%,0%,11%,0%,14%,0%,29%,0%,0%,17%,0%,0%,0%,17%,17%,20%,0%,0%,0%,20%,0%,0%,0%,0%,25%,0%,0%,25%,25%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ta505,3%,5%,3%,6%,10%,3%,3%,0%,4%,8%,0%,4%,12%,4%,0%,0%,0%,0%,5%,0%,14%,5%,-,5%,0%,0%,6%,0%,6%,6%,7%,0%,0%,0%,8%,8%,0%,0%,0%,9%,0%,0%,9%,10%,10%,0%,0%,10%,11%,0%,13%,0%,14%,0%,0%,14%,0%,0%,0%,33%,17%,0%,20%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,50%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
leviathan,5%,0%,0%,3%,3%,3%,0%,0%,0%,8%,4%,0%,0%,4%,0%,0%,4%,0%,0%,0%,0%,0%,5%,-,0%,0%,6%,0%,6%,0%,0%,0%,0%,0%,8%,8%,0%,8%,0%,9%,0%,0%,9%,10%,10%,0%,0%,0%,0%,0%,13%,0%,0%,0%,14%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ke3chang,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
magic-hound,5%,3%,6%,3%,3%,3%,0%,3%,0%,4%,4%,0%,8%,4%,4%,4%,4%,5%,5%,0%,5%,5%,0%,0%,0%,-,0%,6%,6%,6%,0%,0%,8%,8%,8%,0%,0%,0%,0%,9%,9%,0%,9%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,14%,14%,0%,0%,0%,0%,17%,0%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin7,5%,5%,0%,6%,6%,3%,0%,0%,4%,4%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,5%,5%,0%,0%,-,0%,6%,0%,0%,0%,0%,8%,0%,0%,0%,8%,0%,9%,0%,0%,0%,20%,10%,0%,0%,0%,0%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,17%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin8,5%,3%,6%,3%,3%,7%,0%,3%,0%,4%,4%,0%,4%,4%,8%,4%,4%,5%,5%,0%,5%,5%,0%,0%,0%,6%,0%,-,6%,6%,0%,0%,8%,8%,8%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,0%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
silence,5%,5%,3%,10%,6%,13%,0%,7%,4%,12%,8%,4%,4%,8%,4%,4%,4%,9%,9%,0%,5%,10%,5%,5%,0%,6%,6%,6%,-,13%,0%,7%,15%,8%,8%,8%,0%,0%,0%,18%,0%,0%,0%,20%,10%,0%,0%,10%,0%,11%,13%,0%,0%,14%,0%,14%,17%,0%,0%,17%,17%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,50%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
sandworm-team,8%,3%,6%,10%,3%,7%,0%,3%,7%,8%,8%,4%,8%,4%,4%,4%,4%,9%,9%,0%,9%,10%,5%,0%,0%,6%,0%,6%,13%,-,0%,7%,15%,8%,15%,15%,0%,0%,0%,9%,0%,0%,9%,10%,0%,0%,0%,10%,0%,11%,0%,0%,0%,14%,0%,0%,17%,0%,0%,17%,33%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
soft-cell,8%,3%,3%,0%,0%,3%,3%,3%,0%,12%,4%,4%,12%,0%,0%,4%,0%,9%,5%,0%,5%,5%,5%,0%,0%,0%,0%,0%,0%,0%,-,7%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,10%,22%,0%,0%,0%,0%,0%,14%,14%,0%,0%,17%,0%,0%,0%,20%,0%,0%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt1,5%,0%,3%,3%,0%,3%,0%,0%,4%,4%,4%,4%,0%,0%,0%,0%,0%,5%,5%,0%,0%,5%,0%,0%,0%,0%,0%,0%,6%,6%,7%,-,8%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,11%,11%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
temp.veles,8%,5%,6%,10%,3%,7%,3%,7%,4%,12%,8%,4%,8%,4%,4%,4%,4%,9%,14%,0%,5%,10%,0%,0%,0%,6%,0%,6%,13%,13%,7%,7%,-,8%,8%,8%,0%,0%,0%,9%,0%,0%,0%,10%,0%,0%,0%,10%,0%,11%,0%,0%,0%,14%,14%,0%,17%,0%,0%,0%,17%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
