ADVERSARY_NAME,apt32,apt28,turla,lazarus-group,oilrig,apt41,gamaredon-group,dragonfly-2.0,unc2452,tropic-trooper,threat-group-3390,wizard-spider,fin6,sandworm-team,frankenstein,apt3,menupass,rocke,muddywater,bronze-butler,apt39,apt37,soft-cell,patchwork,ke3chang,silence,stealth-falcon,magic-hound,honeybee,inception,cobalt-group,apt38,leviathan,darkhotel,blue-mockingbird,apt33,apt19,kimsuky,fin8,darkvishnya,chimera,apt1,admin@338,leafminer,fin7,fin5,apt18,sowbug,platinum,night-dragon,molerats,elderwood,dark-caracal,apt29,whitefly,ta505,poseidon-group,gorgon-group,gold-southfield,temp.veles,suckfly,sharpshooter,fin10,dust-storm,deep-panda,axiom,apt-c-36,winnti-group,windshift,wirte,the-white-company,stolen-pencil,rtm,machete,group5,dragonfly,darkhydrus,carbanak,blacktech,thrip,threat-group-1314,ta459,rancor,putter-panda,pittytiger,promethium,naikon,mofang,gallmaker,fin4,equation,blackoasis,apt17,apt12,taidoor,strider,silverterrier,scarlet-mimic,orangeworm,neodymium,moafee,monsoon,lotus-blossom,gcman,dragonok,copykittens,cleaver,charming-kitten,apt34,apt30,apt16
apt18,15%,15%,16%,17%,23%,23%,19%,20%,26%,21%,21%,25%,13%,33%,20%,27%,21%,21%,29%,14%,14%,23%,33%,33%,25%,27%,10%,40%,30%,33%,22%,11%,38%,25%,25%,38%,25%,29%,43%,0%,57%,0%,33%,33%,33%,33%,-,40%,20%,60%,40%,40%,40%,20%,50%,50%,0%,25%,25%,67%,33%,33%,33%,67%,0%,0%,67%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,100%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
sowbug,15%,8%,8%,8%,5%,9%,14%,10%,11%,16%,0%,13%,0%,7%,13%,13%,7%,7%,14%,14%,14%,8%,0%,17%,17%,0%,10%,20%,20%,22%,0%,0%,13%,13%,13%,0%,13%,29%,0%,14%,0%,14%,33%,17%,0%,0%,33%,-,0%,0%,0%,0%,20%,0%,0%,0%,25%,0%,0%,0%,33%,0%,0%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
platinum,15%,8%,12%,8%,5%,9%,5%,10%,5%,5%,16%,0%,13%,7%,7%,13%,7%,7%,7%,14%,7%,23%,8%,17%,0%,18%,0%,10%,10%,0%,33%,22%,13%,13%,0%,25%,13%,14%,29%,0%,14%,0%,0%,17%,17%,0%,17%,0%,-,0%,20%,40%,20%,20%,50%,25%,0%,25%,0%,0%,0%,67%,0%,0%,0%,0%,33%,0%,50%,50%,0%,0%,50%,0%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
night-dragon,4%,12%,4%,4%,14%,18%,5%,10%,16%,5%,16%,19%,13%,27%,7%,7%,14%,14%,7%,0%,14%,8%,33%,8%,8%,18%,0%,10%,10%,11%,22%,0%,25%,13%,25%,25%,13%,14%,29%,14%,43%,0%,0%,17%,17%,33%,50%,0%,0%,-,20%,20%,20%,40%,25%,25%,0%,0%,50%,67%,33%,0%,33%,33%,0%,33%,33%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,100%,50%,100%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
molerats,12%,15%,16%,13%,23%,9%,14%,10%,21%,21%,16%,6%,13%,20%,27%,20%,21%,29%,29%,14%,14%,23%,17%,17%,17%,18%,20%,30%,30%,22%,22%,22%,38%,38%,13%,25%,38%,0%,29%,0%,29%,14%,0%,17%,50%,17%,33%,0%,20%,20%,-,40%,20%,20%,75%,50%,25%,50%,0%,0%,0%,33%,0%,33%,33%,0%,67%,50%,0%,100%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
elderwood,15%,12%,12%,17%,9%,14%,10%,10%,11%,16%,21%,6%,6%,20%,20%,13%,14%,14%,21%,21%,7%,31%,17%,33%,0%,18%,0%,20%,10%,22%,33%,22%,38%,25%,13%,38%,25%,0%,29%,0%,29%,0%,17%,33%,33%,0%,33%,0%,40%,20%,40%,-,40%,40%,50%,50%,0%,25%,0%,0%,0%,33%,0%,33%,0%,0%,67%,0%,50%,50%,50%,0%,50%,50%,50%,50%,0%,0%,50%,0%,0%,100%,100%,100%,0%,100%,0%,100%,100%,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dark-caracal,12%,15%,16%,17%,9%,9%,19%,20%,16%,11%,16%,6%,13%,7%,13%,20%,14%,7%,21%,29%,14%,23%,17%,33%,17%,18%,10%,30%,30%,33%,11%,11%,13%,25%,13%,13%,25%,29%,14%,0%,14%,14%,17%,50%,33%,0%,33%,20%,20%,20%,20%,40%,-,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,33%,0%,50%,0%,0%,0%,50%,50%,100%,50%,0%,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt29,12%,12%,4%,13%,9%,18%,5%,0%,16%,11%,16%,13%,19%,13%,20%,13%,14%,14%,21%,7%,7%,15%,25%,17%,0%,9%,10%,10%,10%,22%,22%,0%,38%,13%,38%,25%,13%,0%,29%,0%,29%,0%,17%,17%,17%,0%,17%,0%,20%,40%,20%,40%,20%,-,25%,25%,0%,0%,25%,0%,0%,0%,0%,33%,33%,33%,33%,0%,0%,0%,50%,0%,0%,50%,50%,0%,0%,0%,100%,0%,0%,100%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
whitefly,15%,12%,8%,8%,14%,9%,10%,10%,11%,11%,16%,6%,19%,13%,13%,13%,14%,14%,14%,7%,14%,15%,17%,17%,8%,18%,10%,20%,10%,11%,33%,11%,25%,13%,13%,38%,25%,0%,43%,0%,29%,0%,0%,17%,50%,17%,33%,0%,40%,20%,60%,40%,20%,20%,-,50%,0%,25%,0%,0%,0%,33%,0%,33%,0%,0%,67%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ta505,8%,8%,8%,8%,9%,14%,10%,5%,16%,11%,11%,6%,6%,13%,13%,20%,14%,14%,14%,7%,7%,15%,17%,17%,0%,18%,0%,20%,10%,11%,22%,22%,25%,13%,13%,25%,13%,0%,29%,0%,29%,0%,0%,17%,33%,0%,33%,0%,20%,20%,40%,40%,20%,20%,50%,-,0%,25%,0%,0%,0%,33%,0%,33%,0%,0%,67%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
