ADVERSARY_NAME,apt32,apt28,turla,lazarus-group,oilrig,apt41,gamaredon-group,dragonfly-2.0,unc2452,tropic-trooper,threat-group-3390,wizard-spider,fin6,sandworm-team,frankenstein,apt3,menupass,rocke,muddywater,bronze-butler,apt39,apt37,soft-cell,patchwork,ke3chang,silence,stealth-falcon,magic-hound,honeybee,inception,cobalt-group,apt38,leviathan,darkhotel,blue-mockingbird,apt33,apt19,kimsuky,fin8,darkvishnya,chimera,apt1,admin@338,leafminer,fin7,fin5,apt18,sowbug,platinum,night-dragon,molerats,elderwood,dark-caracal,apt29,whitefly,ta505,poseidon-group,gorgon-group,gold-southfield,temp.veles,suckfly,sharpshooter,fin10,dust-storm,deep-panda,axiom,apt-c-36,winnti-group,windshift,wirte,the-white-company,stolen-pencil,rtm,machete,group5,dragonfly,darkhydrus,carbanak,blacktech,thrip,threat-group-1314,ta459,rancor,putter-panda,pittytiger,promethium,naikon,mofang,gallmaker,fin4,equation,blackoasis,apt17,apt12,taidoor,strider,silverterrier,scarlet-mimic,orangeworm,neodymium,moafee,monsoon,lotus-blossom,gcman,dragonok,copykittens,cleaver,charming-kitten,apt34,apt30,apt16
apt-c-36,12%,8%,8%,13%,9%,9%,10%,5%,11%,11%,11%,6%,6%,20%,13%,13%,14%,21%,14%,7%,7%,15%,17%,17%,0%,27%,0%,30%,10%,11%,22%,11%,25%,13%,13%,38%,13%,0%,29%,14%,29%,0%,0%,17%,50%,0%,33%,0%,20%,20%,40%,40%,20%,20%,50%,50%,0%,25%,0%,33%,0%,33%,0%,33%,0%,0%,-,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
winnti-group,0%,8%,4%,4%,5%,5%,0%,0%,5%,5%,0%,0%,0%,0%,7%,7%,0%,14%,7%,0%,0%,8%,0%,0%,8%,0%,10%,10%,10%,11%,0%,11%,0%,13%,0%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
windshift,8%,0%,4%,4%,0%,0%,0%,10%,5%,0%,5%,0%,0%,0%,0%,0%,7%,0%,0%,14%,0%,8%,0%,8%,0%,0%,0%,0%,0%,0%,0%,11%,0%,13%,0%,0%,13%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,20%,0%,0%,20%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,50%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wirte,4%,8%,8%,4%,9%,5%,10%,5%,11%,11%,11%,0%,0%,13%,13%,7%,14%,14%,14%,14%,7%,8%,8%,8%,0%,9%,0%,10%,10%,0%,11%,11%,25%,13%,0%,13%,13%,0%,14%,0%,14%,0%,0%,0%,17%,0%,17%,0%,20%,0%,40%,20%,0%,0%,25%,25%,0%,50%,0%,0%,0%,33%,0%,0%,0%,0%,33%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
the-white-company,4%,4%,4%,8%,0%,5%,0%,0%,0%,5%,5%,0%,0%,7%,7%,0%,0%,0%,7%,14%,0%,8%,0%,8%,0%,0%,0%,0%,0%,11%,11%,0%,13%,0%,0%,13%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
stolen-pencil,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,0%,14%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
rtm,4%,0%,4%,4%,0%,0%,0%,5%,0%,0%,5%,0%,0%,7%,0%,0%,0%,0%,0%,7%,0%,8%,0%,8%,0%,0%,0%,0%,0%,0%,11%,11%,0%,13%,0%,0%,13%,14%,0%,14%,0%,0%,0%,17%,0%,0%,0%,0%,20%,20%,0%,20%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,-,0%,0%,50%,0%,50%,0%,100%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
machete,4%,8%,8%,4%,5%,5%,10%,0%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,7%,0%,0%,8%,8%,8%,0%,9%,0%,10%,10%,11%,11%,0%,13%,13%,13%,13%,13%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,-,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
group5,4%,8%,4%,4%,9%,5%,10%,5%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,14%,7%,7%,8%,8%,8%,0%,18%,0%,20%,10%,11%,11%,0%,13%,13%,13%,13%,13%,0%,14%,0%,14%,0%,0%,17%,33%,0%,17%,0%,0%,20%,20%,20%,40%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,-,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dragonfly,4%,0%,4%,4%,0%,0%,0%,5%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,8%,0%,8%,0%,0%,0%,0%,0%,0%,0%,11%,0%,13%,0%,0%,13%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,20%,0%,0%,20%,20%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,50%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
darkhydrus,0%,4%,0%,0%,0%,0%,5%,10%,0%,5%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
carbanak,0%,4%,0%,0%,5%,5%,0%,5%,5%,0%,5%,6%,6%,13%,0%,0%,7%,0%,0%,0%,7%,0%,8%,0%,0%,9%,0%,0%,0%,0%,11%,0%,13%,0%,0%,13%,0%,14%,14%,14%,14%,0%,0%,0%,0%,17%,17%,0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,-,0%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
blacktech,4%,8%,0%,4%,0%,9%,0%,0%,5%,5%,5%,0%,0%,7%,7%,0%,0%,7%,7%,7%,7%,8%,8%,8%,0%,0%,0%,0%,0%,11%,11%,0%,13%,0%,13%,13%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,20%,0%,20%,0%,40%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
thrip,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,14%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
threat-group-1314,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ta459,4%,4%,0%,4%,0%,5%,0%,0%,0%,5%,5%,0%,0%,7%,7%,0%,0%,0%,7%,7%,0%,8%,0%,8%,0%,0%,0%,0%,0%,11%,11%,0%,13%,0%,0%,13%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
rancor,4%,4%,4%,4%,5%,5%,5%,5%,5%,5%,5%,0%,0%,7%,7%,7%,7%,7%,7%,7%,7%,8%,8%,8%,0%,9%,0%,10%,0%,0%,11%,11%,13%,0%,0%,13%,0%,0%,14%,0%,14%,0%,0%,0%,17%,0%,17%,0%,20%,0%,20%,20%,0%,0%,25%,25%,0%,25%,0%,0%,0%,33%,0%,0%,0%,0%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
putter-panda,4%,4%,4%,4%,5%,5%,5%,0%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,7%,0%,0%,8%,8%,8%,0%,9%,0%,10%,10%,11%,11%,0%,13%,13%,13%,13%,13%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
pittytiger,0%,4%,0%,0%,5%,5%,0%,5%,5%,0%,5%,6%,6%,7%,0%,0%,7%,0%,0%,0%,7%,0%,8%,0%,0%,9%,0%,0%,0%,0%,0%,0%,13%,0%,0%,13%,0%,0%,14%,0%,14%,0%,0%,0%,0%,17%,17%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
promethium,4%,0%,4%,4%,0%,0%,0%,5%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,8%,0%,8%,0%,0%,0%,0%,0%,0%,0%,11%,0%,13%,0%,0%,13%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,20%,0%,0%,20%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,50%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
naikon,4%,0%,4%,4%,5%,5%,0%,5%,0%,5%,5%,6%,0%,7%,7%,7%,7%,0%,7%,0%,0%,0%,8%,0%,8%,0%,10%,10%,0%,0%,0%,0%,0%,13%,0%,0%,13%,0%,0%,0%,0%,14%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
mofang,4%,4%,4%,4%,5%,5%,5%,0%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,7%,0%,0%,8%,8%,8%,0%,9%,0%,10%,10%,11%,11%,0%,13%,13%,13%,13%,13%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,-,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
gallmaker,4%,4%,4%,4%,5%,5%,5%,0%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,7%,0%,0%,8%,8%,8%,0%,9%,0%,10%,10%,11%,11%,0%,13%,13%,13%,13%,13%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,-,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin4,0%,4%,0%,0%,5%,5%,0%,5%,5%,0%,5%,6%,6%,7%,0%,0%,7%,0%,0%,0%,7%,0%,8%,0%,0%,9%,0%,0%,0%,0%,0%,0%,13%,0%,0%,13%,0%,0%,14%,0%,14%,0%,0%,0%,0%,17%,17%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
equation,0%,4%,4%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
blackoasis,4%,4%,4%,4%,5%,5%,5%,0%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,7%,0%,0%,8%,8%,8%,0%,9%,0%,10%,10%,11%,11%,0%,13%,13%,13%,13%,13%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt17,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt12,4%,4%,0%,4%,0%,5%,0%,0%,0%,5%,5%,0%,0%,7%,7%,0%,0%,0%,7%,7%,0%,8%,0%,8%,0%,0%,0%,0%,0%,11%,11%,0%,13%,0%,0%,13%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
taidoor,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
strider,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
silverterrier,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
scarlet-mimic,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
orangeworm,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
neodymium,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
moafee,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
monsoon,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%
lotus-blossom,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%
gcman,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%
dragonok,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%
