ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
temp.veles,18%,15%,16%,16%,13%,20%,7%,28%,15%,27%,20%,28%,28%,21%,25%,22%,17%,32%,18%,14%,14%,15%,5%,30%,5%,17%,11%,29%,38%,19%,40%,20%,-,15%,15%,38%,0%,8%,18%,18%,9%,0%,9%,10%,10%,10%,20%,10%,0%,44%,0%,29%,14%,57%,43%,0%,17%,0%,17%,17%,17%,17%,20%,40%,0%,0%,0%,20%,0%,0%,20%,50%,25%,25%,25%,50%,0%,50%,25%,25%,0%,0%,0%,0%,0%,0%,33%,50%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
kimsuky,20%,26%,16%,13%,23%,20%,17%,21%,19%,23%,20%,20%,24%,29%,25%,22%,26%,18%,18%,23%,23%,20%,20%,20%,16%,39%,28%,24%,25%,25%,7%,13%,15%,-,31%,15%,23%,42%,27%,27%,36%,27%,36%,20%,50%,10%,20%,20%,22%,11%,38%,43%,14%,43%,14%,14%,17%,33%,33%,33%,33%,33%,40%,40%,40%,40%,20%,40%,40%,40%,20%,0%,25%,50%,25%,25%,50%,25%,50%,0%,25%,0%,0%,0%,67%,0%,0%,50%,0%,0%,100%,0%,100%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
gamaredon-group,25%,21%,19%,19%,26%,20%,21%,21%,37%,31%,40%,20%,20%,29%,25%,17%,35%,23%,23%,27%,27%,30%,30%,30%,16%,39%,33%,29%,44%,38%,13%,13%,15%,31%,-,23%,46%,42%,45%,36%,55%,36%,45%,20%,40%,0%,50%,30%,22%,11%,50%,0%,86%,57%,0%,57%,50%,33%,33%,17%,17%,67%,60%,40%,80%,60%,40%,40%,40%,40%,80%,25%,50%,75%,25%,0%,50%,25%,50%,0%,50%,33%,0%,33%,67%,0%,0%,0%,50%,50%,50%,0%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
blue-mockingbird,25%,15%,13%,19%,23%,27%,14%,17%,22%,19%,20%,28%,32%,25%,17%,17%,26%,23%,5%,18%,18%,15%,15%,30%,26%,17%,22%,35%,44%,19%,27%,27%,38%,15%,23%,-,8%,17%,9%,27%,18%,0%,36%,20%,10%,10%,30%,10%,0%,56%,13%,29%,29%,57%,43%,14%,33%,0%,17%,33%,50%,17%,0%,40%,0%,0%,0%,20%,0%,0%,20%,50%,50%,25%,50%,50%,0%,0%,25%,25%,0%,67%,0%,0%,0%,0%,33%,50%,50%,50%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt37,15%,18%,16%,6%,16%,13%,21%,17%,37%,31%,32%,20%,12%,21%,17%,17%,35%,14%,9%,27%,23%,30%,35%,25%,16%,44%,39%,18%,31%,44%,7%,13%,0%,23%,46%,8%,-,50%,36%,36%,45%,36%,36%,20%,50%,10%,40%,30%,11%,0%,50%,14%,71%,29%,0%,57%,50%,50%,33%,0%,17%,50%,40%,40%,100%,60%,40%,60%,40%,40%,60%,25%,50%,75%,25%,0%,50%,0%,50%,0%,75%,33%,0%,33%,33%,0%,0%,0%,50%,50%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
inception,20%,21%,16%,6%,19%,13%,21%,21%,30%,23%,28%,20%,12%,25%,21%,13%,30%,14%,9%,36%,23%,20%,30%,30%,16%,39%,33%,18%,31%,31%,7%,7%,8%,38%,38%,15%,46%,-,36%,18%,45%,45%,55%,20%,60%,10%,50%,10%,11%,11%,38%,14%,57%,29%,29%,43%,33%,33%,33%,17%,0%,33%,40%,80%,80%,60%,40%,60%,40%,40%,60%,25%,100%,100%,0%,25%,50%,0%,75%,0%,50%,0%,0%,33%,33%,0%,0%,50%,0%,50%,0%,0%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
machete,18%,13%,16%,6%,23%,17%,17%,21%,19%,27%,24%,32%,12%,17%,33%,13%,30%,18%,14%,32%,27%,20%,30%,30%,11%,28%,22%,29%,25%,19%,13%,13%,15%,23%,38%,8%,31%,33%,-,27%,27%,45%,36%,20%,50%,0%,30%,10%,33%,11%,38%,14%,57%,29%,0%,43%,33%,67%,33%,0%,0%,33%,40%,40%,60%,60%,40%,40%,80%,80%,60%,25%,25%,50%,0%,0%,100%,25%,50%,0%,50%,0%,0%,67%,33%,0%,0%,0%,0%,50%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
honeybee,15%,15%,9%,10%,19%,23%,10%,7%,15%,27%,20%,8%,20%,21%,17%,26%,26%,14%,9%,9%,14%,20%,15%,25%,21%,22%,28%,12%,38%,13%,13%,7%,15%,23%,31%,23%,31%,17%,27%,-,27%,9%,18%,30%,30%,0%,20%,20%,0%,0%,38%,0%,29%,43%,0%,29%,17%,0%,0%,17%,17%,50%,20%,0%,40%,20%,0%,0%,0%,0%,20%,0%,25%,25%,25%,0%,0%,50%,0%,0%,0%,33%,0%,33%,33%,0%,0%,0%,100%,0%,50%,0%,50%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
gorgon-group,18%,21%,16%,10%,19%,13%,21%,14%,22%,27%,28%,20%,16%,25%,25%,17%,26%,23%,14%,23%,23%,20%,25%,35%,11%,39%,33%,24%,38%,19%,13%,13%,8%,31%,46%,15%,38%,42%,27%,27%,-,27%,45%,20%,50%,0%,50%,10%,11%,11%,63%,0%,57%,43%,29%,43%,50%,33%,33%,33%,0%,33%,40%,20%,80%,60%,40%,60%,40%,40%,60%,25%,50%,100%,25%,25%,50%,0%,100%,0%,50%,33%,0%,0%,67%,0%,0%,50%,50%,0%,0%,0%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin4,18%,13%,19%,6%,16%,10%,17%,21%,15%,19%,16%,24%,4%,8%,21%,9%,26%,14%,5%,27%,18%,15%,30%,25%,16%,33%,17%,24%,19%,31%,0%,20%,0%,23%,31%,0%,31%,42%,45%,9%,27%,-,27%,10%,50%,10%,30%,30%,33%,0%,38%,29%,57%,0%,0%,29%,33%,67%,50%,0%,0%,17%,40%,20%,60%,40%,40%,40%,80%,80%,60%,25%,50%,75%,25%,0%,100%,0%,50%,0%,50%,0%,0%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
