ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
bronze-butler,13%,10%,9%,10%,13%,10%,10%,14%,19%,19%,-,16%,12%,17%,21%,13%,22%,18%,5%,18%,18%,10%,20%,20%,5%,22%,28%,24%,31%,13%,20%,7%,15%,8%,31%,23%,23%,25%,27%,18%,36%,18%,18%,10%,30%,0%,50%,10%,0%,22%,25%,0%,57%,43%,14%,29%,33%,17%,17%,17%,0%,33%,20%,40%,40%,20%,20%,40%,20%,20%,60%,25%,50%,75%,25%,25%,25%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt39,13%,5%,6%,6%,16%,10%,7%,14%,11%,15%,16%,-,8%,17%,21%,4%,17%,14%,5%,18%,18%,5%,15%,15%,5%,11%,17%,24%,25%,6%,13%,0%,15%,8%,15%,23%,8%,17%,36%,9%,18%,18%,18%,10%,30%,0%,30%,0%,11%,22%,13%,0%,29%,29%,14%,14%,17%,33%,17%,17%,0%,0%,20%,40%,20%,20%,20%,40%,40%,40%,40%,25%,25%,50%,0%,25%,50%,0%,50%,0%,25%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt3,8%,5%,6%,10%,10%,10%,7%,10%,11%,12%,12%,8%,-,13%,13%,9%,13%,14%,0%,9%,9%,5%,10%,10%,5%,11%,17%,18%,19%,0%,20%,7%,15%,8%,15%,23%,8%,8%,9%,9%,18%,0%,9%,0%,10%,0%,30%,10%,0%,22%,13%,0%,29%,43%,14%,14%,17%,0%,0%,17%,0%,17%,0%,40%,0%,0%,0%,20%,0%,0%,20%,0%,25%,25%,25%,25%,0%,0%,25%,0%,0%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin6,15%,8%,9%,10%,16%,13%,7%,14%,15%,15%,16%,16%,12%,-,17%,9%,22%,18%,0%,14%,14%,10%,20%,15%,11%,17%,28%,24%,38%,6%,20%,7%,15%,8%,23%,31%,15%,17%,18%,18%,27%,9%,18%,10%,30%,10%,40%,10%,0%,22%,25%,0%,43%,43%,14%,29%,33%,17%,17%,17%,0%,17%,20%,40%,20%,20%,20%,40%,20%,20%,40%,25%,25%,50%,25%,25%,25%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dragonfly-2.0,13%,8%,9%,10%,16%,10%,10%,17%,15%,19%,20%,20%,12%,17%,-,9%,22%,18%,5%,18%,18%,10%,20%,20%,5%,17%,22%,29%,25%,6%,20%,7%,15%,8%,23%,23%,15%,17%,36%,9%,27%,18%,18%,10%,30%,0%,40%,10%,11%,22%,25%,0%,43%,43%,14%,29%,33%,33%,17%,17%,0%,17%,20%,40%,20%,20%,20%,40%,40%,40%,40%,25%,25%,50%,25%,25%,50%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
threat-group-3390,5%,5%,6%,6%,6%,7%,7%,7%,7%,8%,12%,4%,8%,8%,8%,-,9%,9%,0%,5%,5%,5%,10%,10%,5%,11%,11%,12%,13%,0%,13%,7%,8%,8%,8%,15%,8%,8%,0%,9%,18%,0%,9%,0%,10%,0%,20%,10%,0%,11%,13%,0%,14%,29%,14%,14%,17%,0%,0%,17%,0%,33%,0%,20%,0%,0%,0%,20%,0%,0%,0%,0%,25%,25%,25%,25%,0%,0%,25%,0%,0%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
cobalt-group,18%,10%,13%,10%,16%,10%,14%,17%,22%,27%,20%,16%,12%,21%,21%,9%,-,18%,0%,23%,14%,10%,35%,25%,5%,22%,39%,29%,38%,13%,20%,7%,15%,8%,31%,23%,31%,25%,27%,18%,36%,27%,18%,10%,50%,10%,50%,10%,11%,22%,25%,0%,57%,43%,14%,29%,33%,33%,17%,17%,0%,17%,20%,40%,60%,20%,20%,60%,40%,40%,60%,25%,50%,75%,25%,25%,50%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
menupass,10%,8%,9%,10%,13%,10%,7%,14%,15%,15%,16%,12%,12%,17%,17%,9%,17%,-,0%,14%,14%,10%,15%,15%,5%,17%,22%,24%,25%,6%,20%,7%,15%,8%,23%,23%,15%,17%,18%,9%,27%,9%,18%,10%,20%,0%,40%,10%,0%,22%,25%,0%,43%,43%,14%,29%,33%,17%,17%,17%,0%,17%,20%,40%,20%,20%,20%,40%,20%,20%,40%,25%,25%,50%,25%,25%,25%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
rocke,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,4%,4%,0%,0%,4%,0%,0%,0%,-,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt33,13%,8%,6%,6%,13%,7%,10%,14%,15%,19%,16%,16%,8%,13%,17%,4%,22%,14%,0%,-,14%,5%,20%,20%,0%,17%,22%,24%,25%,13%,13%,0%,15%,8%,23%,15%,15%,25%,27%,9%,27%,27%,18%,10%,40%,0%,40%,0%,11%,22%,13%,0%,43%,29%,14%,14%,17%,33%,17%,17%,0%,0%,20%,40%,40%,20%,20%,40%,40%,40%,60%,25%,50%,75%,0%,25%,50%,0%,50%,0%,25%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
