INDEX,STATUS,WID,TOOL,ALIASES,PLATFORMS,TACTICS,TECHNIQUES,SUBTECHNIQUES,ADVERSARIES
39,Active,S0154,cobalt-strike,none,windows,collection|command-and-control|credential-access|defense-evasion|discovery|execution|exfiltration|initial-access|lateral-movement|persistence|privilege-escalation|,T1005|T1018|T1029|T1046|T1047|T1055|T1057|T1068|T1071|T1106|T1113|T1135|T1185|T1197|T1572|,T1003.002|T1021.001|T1021.002|T1021.003|T1021.004|T1021.006|T1027.005|T1055.012|T1056.001|T1059.001|T1059.003|T1059.005|T1059.006|T1070.006|T1071.001|T1071.004|T1078.002|T1078.003|T1090.001|T1134.001|T1134.003|T1134.004|T1543.003|T1548.002|T1550.002|T1569.002|,apt19|apt29|apt32|apt41|cobalt-group|copykittens|darkhydrus|fin6|leviathan|
40,Active,S0002,mimikatz,none,windows,credential-access|defense-evasion|lateral-movement|persistence|privilege-escalation|,T1098|T1207|T1555|,T1003.001|T1003.002|T1003.004|T1003.006|T1134.005|T1547.005|T1550.002|T1550.003|T1552.004|T1555.003|T1558.001|T1558.002|,apt1|apt28|apt29|apt32|apt33|apt38|apt39|apt41|blue-mockingbird|bronze-butler|carbanak|cleaver|cobalt-group|darkhydrus|fin6|ke3chang|lazarus-group|leafminer|magic-hound|menupass|muddywater|oilrig|pittytiger|soft-cell|stolen-pencil|temp.veles|threat-group-3390|thrip|turla|whitefly|
41,Active,S0008,gsecdump,none,windows,credential-access|,none,T1003.002|T1003.004|,apt1|bronze-butler|night-dragon|pittytiger|threat-group-3390|
42,Active,S0102,nbtstat,none,windows,discovery|,T1016|T1049|,none,turla|
43,Active,S0231,invoke-psimage,none,windows,defense-evasion|,T1027|,none,none
44,Active,S0349,lazagne,none,linux|macos|windows,credential-access|,T1555|,T1003.001|T1003.004|T1003.005|T1003.007|T1003.008|T1552.001|T1555.001|T1555.003|,apt3|apt33|inception|leafminer|muddywater|oilrig|
45,Active,S0097,ping,none,linux|windows|macos,discovery|,T1018|,none,apt41|deep-panda|ke3chang|menupass|naikon|soft-cell|
46,Active,S0106,cmd,none,windows,command-and-control|defense-evasion|discovery|execution|lateral-movement|,T1082|T1083|T1105|T1570|,T1059.003|T1070.004|,apt18|bronze-butler|honeybee|menupass|orangeworm|soft-cell|
47,Active,S0103,route,none,linux|windows|macos,discovery|,T1016|,none,orangeworm|
48,Active,S0404,esentutl,none,windows,command-and-control|credential-access|defense-evasion|lateral-movement|,T1105|T1570|,T1003.003|T1564.004|,menupass|
49,Active,S0250,koadic,none,windows,collection|command-and-control|credential-access|defense-evasion|discovery|execution|lateral-movement|privilege-escalation|,T1005|T1016|T1033|T1046|T1047|T1105|T1115|T1135|,T1003.002|T1003.003|T1021.001|T1055.001|T1059.003|T1059.005|T1218.005|T1218.010|T1218.011|T1548.002|T1569.002|T1573.002|,apt28|muddywater|
50,Active,S0111,schtasks,none,windows,execution|persistence|privilege-escalation|,none,T1053.005|,apt3|bronze-butler|
51,Active,S0119,cachedump,none,windows,credential-access|,none,T1003.005|,apt1|
52,Active,S0361,expand,none,windows,defense-evasion|lateral-movement|,T1140|T1570|,T1564.004|,none
53,Active,S0192,pupy,none,linux|windows|macos|android,collection|command-and-control|credential-access|defense-evasion|discovery|execution|exfiltration|lateral-movement|persistence|privilege-escalation|,T1016|T1033|T1041|T1046|T1049|T1057|T1082|T1083|T1105|T1113|T1123|T1125|T1135|T1555|,T1003.001|T1003.004|T1003.005|T1021.001|T1055.001|T1056.001|T1059.001|T1059.006|T1070.001|T1071.001|T1087.001|T1114.001|T1134.001|T1136.001|T1136.002|T1497.001|T1543.002|T1547.001|T1548.002|T1550.003|T1552.001|T1555.003|T1557.001|T1560.001|T1569.002|T1573.002|,apt33|magic-hound|
54,Active,S0075,reg,none,windows,credential-access|defense-evasion|discovery|,T1012|T1112|,T1552.002|,dragonfly-2.0|honeybee|oilrig|rancor|soft-cell|turla|
55,Active,S0095,ftp,none,linux|windows|macos,exfiltration|,none,T1048.003|,apt33|apt41|naikon|oilrig|
56,Active,S0040,htran,none,linux|windows,command-and-control|defense-evasion|privilege-escalation|,T1014|T1055|T1090|,none,apt12|soft-cell|
57,Active,S0195,sdelete,none,windows,defense-evasion|impact|,T1485|,T1070.004|T1553.002|,apt29|cobalt-group|fin5|silence|
58,Active,S0262,quasarrat,none,windows,collection|command-and-control|credential-access|defense-evasion|discovery|execution|lateral-movement|persistence|privilege-escalation|,T1082|T1090|T1105|T1112|T1125|T1555|,T1021.001|T1053.005|T1056.001|T1059.003|T1552.001|T1553.002|T1555.003|T1573.001|,gorgon-group|menupass|patchwork|
59,Active,S0183,tor,none,linux|windows|macos,command-and-control|,none,T1090.003|T1573.002|,apt29|
60,Active,S0224,havij,none,linux|windows|macos,initial-access|,T1190|,none,magic-hound|
61,Active,S0029,psexec,none,windows,execution|lateral-movement|,T1570|,T1021.002|T1569.002|,apt1|apt29|apt39|carbanak|cleaver|cobalt-group|darkvishnya|dragonfly-2.0|fin5|fin6|leafminer|magic-hound|menupass|naikon|night-dragon|oilrig|soft-cell|stolen-pencil|temp.veles|threat-group-1314|thrip|turla|wizard-spider|
